Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
18,Wed,06/01/2021,21:00 (20:00),Marseille,2.6,3â€“1,1.1,Montpellier,,Orange Vélodrome,Stéphanie Frappart
19,Sat,09/01/2021,21:00 (20:00),Monaco,2.5,3â€“0,0.5,Angers,,Stade Louis II.,Benoît Bastien
19,Sat,09/01/2021,21:00 (20:00),Nîmes,0.3,0â€“1,1,Lille,,Stade des Costières,Jérôme Brisard
19,Sat,09/01/2021,21:00 (20:00),Metz,1.3,1â€“1,1.5,Nice,,Stade Saint-Symphorien,Johan Hamel
19,Sat,09/01/2021,21:00 (20:00),Paris S-G,2.9,3â€“0,0.8,Brest,,Parc des Princes,Hakim Ben El Hadj Salem
19,Sat,09/01/2021,21:00 (20:00),Montpellier,1.2,1â€“1,1,Nantes,,Stade de la Mosson, François Letexier
19,Sat,09/01/2021,21:00 (20:00),Bordeaux,1.4,2â€“1,1.3,Lorient,,Stade Matmut-Atlantique,Willy Delajod
19,Sat,09/01/2021,21:00 (20:00),Rennes,1.4,2â€“2,1.1,Lyon,,Roazhon Park,Mikael Lesage
19,Sat,09/01/2021,21:00 (20:00),Lens,0.6,0â€“1,1.3,Strasbourg,,Stade Bollaert-Delelis,Clément Turpin
19,Sat,09/01/2021,21:00 (20:00),Dijon,0.5,0â€“0,1.5,Marseille,, Stade Gaston Gérard, Jérôme Miguelgorry
19,Sat,09/01/2021,21:00 (20:00),Reims,1.4,3â€“1,1.2,Saint-Étienne,,Stade Auguste-Delaune II,Florent Batta
20,Fri,15/01/2021,21:00 (20:00),Montpellier,0.6,2â€“3,2.7,Monaco,,Stade de la Mosson, Aurélien Petit
20,Sat,16/01/2021,17:00 (16:00),Marseille,2.2,1â€“2,1.5,Nîmes,,Orange Vélodrome,Jeremy Stinat
20,Sat,16/01/2021,21:00 (20:00),Angers,0.9,0â€“1,1.5,Paris S-G,,Stade Raymond Kopa,Amaury Delerue
20,Sun,17/01/2021,13:00 (12:00),Brest,1.6,1â€“2,1.7,Rennes,,Stade Francis-Le Blé,Ruddy Buquet
20,Sun,17/01/2021,15:00 (14:00),Strasbourg,2.3,1â€“0,1.3,Saint-Étienne,,Stade de la Meinau,Antony Gautier
20,Sun,17/01/2021,15:00 (14:00),Nice,0.7,0â€“3,1.9,Bordeaux,,Stade de Nice, Thomas Léonard
20,Sun,17/01/2021,15:00 (14:00),Nantes,1,1â€“1,1.7,Lens,,Stade de la Beaujoire - Louis Fonteneau,Franck Schneider
20,Sun,17/01/2021,17:00 (16:00),Lille,1.7,2â€“1,0.5,Reims,,Stade Pierre-Mauroy, Benoît Millot
20,Sun,17/01/2021,21:00 (20:00),Lyon,1.4,0â€“1,1.9,Metz,,Groupama Stadium,Stéphanie Frappart
9,Wed,20/01/2021,21:00 (20:00),Marseille,0.1,0â€“1,1.7,Lens,,Orange Vélodrome,Jérémie Pignard
21,Fri,22/01/2021,21:00 (20:00),Paris S-G,5.4,4â€“0,0.6,Montpellier,,Parc des Princes,Willy Delajod
21,Sat,23/01/2021,17:00 (16:00),Lens,1,0â€“1,0.6,Nice,,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem
21,Sat,23/01/2021,21:00 (20:00),Monaco,1.3,3â€“1,0.5,Marseille,,Stade Louis II., François Letexier
21,Sun,24/01/2021,13:00 (12:00),Bordeaux,0.8,2â€“1,1.7,Angers,,Stade Matmut-Atlantique,Florent Batta
21,Sun,24/01/2021,15:00 (14:00),Metz,0.8,2â€“0,0.2,Nantes,,Stade Saint-Symphorien, Jérôme Miguelgorry
21,Sun,24/01/2021,15:00 (14:00),Reims,1,1â€“0,0.8,Brest,,Stade Auguste-Delaune II,Johan Hamel
21,Sun,24/01/2021,15:00 (14:00),Dijon,0.6,1â€“1,2.9,Strasbourg,, Stade Gaston Gérard,Jérôme Brisard
