Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
18,Sun,15/12/2019,15:00 (14:00),Bordeaux,1.4,0â€“1,0.8,Strasbourg,"18,710",Stade Matmut-Atlantique,Florent Batta
18,Sun,15/12/2019,17:00 (16:00),Lyon,0.5,0â€“1,1.8,Rennes,"45,010",Groupama Stadium,Benoît Bastien
18,Sun,15/12/2019,21:00 (20:00),Saint-Étienne,1,0â€“4,3.8,Paris S-G,"36,391",Stade Geoffroy-Guichard,Ruddy Buquet
19,Sat,21/12/2019,20:45 (19:45),Montpellier,1.9,4â€“0,0.8,Brest,"12,975",Stade de la Mosson,Jeremy Stinat
19,Sat,21/12/2019,20:45 (19:45),Strasbourg,0.9,2â€“1,1.6,Saint-Étienne,"25,471",Stade de la Meinau,Olivier Thual
19,Sat,21/12/2019,20:45 (19:45),Monaco,2.2,5â€“1,0.5,Lille,"5,388",Stade Louis II.,Mikael Lesage
19,Sat,21/12/2019,20:45 (19:45),Dijon,0.8,2â€“2,1.6,Metz,"12,309",Stade Gaston Gérard,Johan Hamel
19,Sat,21/12/2019,20:45 (19:45),Nantes,0.4,1â€“2,1.1,Angers,"29,807",Stade de la Beaujoire - Louis Fonteneau, Jérémie Pignard
19,Sat,21/12/2019,20:45 (19:45),Paris S-G,4.1,4â€“1,0.6,Amiens,"47,693",Parc des Princes,Eric Wattellier
19,Sat,21/12/2019,20:45 (19:45),Reims,1.3,1â€“1,1.5,Lyon,"17,257",Stade Auguste-Delaune II,Amaury Delerue
19,Sat,21/12/2019,20:45 (19:45),Rennes,1.2,1â€“0,0.5,Bordeaux,"26,403",Roazhon Park, Thomas Léonard
19,Sat,21/12/2019,20:45 (19:45),Marseille,1.9,3â€“1,0.8,Nîmes,"59,043",Orange Vélodrome,François Letexier
19,Sat,21/12/2019,20:45 (19:45),Nice,1.8,3â€“0,0.3,Toulouse,"17,945",Stade de Nice,Stéphanie Frappart
20,Fri,10/01/2020,20:45 (19:45),Rennes,0.6,0â€“1,0.8,Marseille,"28,896",Roazhon Park, Benoît Millot
20,Sat,11/01/2020,17:30 (16:30),Bordeaux,0.8,1â€“2,2.4,Lyon,"28,737",Stade Matmut-Atlantique, Clément Turpin
20,Sat,11/01/2020,20:00 (19:00),Angers,1.1,1â€“1,1.1,Nice,"9,105",Stade Raymond Kopa,Willy Delajod
20,Sat,11/01/2020,20:00 (19:00),Nîmes,1.6,2â€“0,0.2,Reims,"11,867",Stade des Costières,Olivier Thual
